n_lags,aid_type,variable,coef,std_err,p_value,ci_lower,ci_upper,sig
6,Military,infra_lag3,-1.0918345521556159,1.1642674993373414,0.3485482515236322,-3.373798850856805,1.1901297465455731,
6,Military,infra_lag4,1.1593471647763685,1.3232456223926856,0.38113490166668385,-1.4342142551132953,3.752908584666032,
6,Military,infra_lag5,0.5167938425113011,0.5469326794035322,0.34490834300604933,-0.5551942091196219,1.5887818941422243,
6,Military,infra_lag6,-0.9343266745058951,0.7948642904279548,0.24005295887741918,-2.4922606837446866,0.6236073347328963,
6,Military,battle_lag1,-0.011952825937953184,0.02436132587848116,0.6237680382609645,-0.05970102465977625,0.03579537278386989,
6,Military,battle_lag2,-0.030212902145241024,0.02941884203403923,0.3046374422000486,-0.08787383253195792,0.02744802824147587,
6,Military,battle_lag3,0.04106774607699414,0.028162580531342386,0.1450442373274874,-0.014130911764436933,0.09626640391842523,
6,Military,battle_lag4,-0.0909838819061025,0.04712263644423496,0.053751326578455494,-0.18334424933680302,0.0013764855245980145,*
6,Military,battle_lag5,0.0810046433946698,0.0288851777979595,0.005125229227892714,0.024389694910669182,0.1376195918786704,***
6,Military,battle_lag6,-0.09667073810714032,0.08489821030083192,0.25507621899105337,-0.2630712302967709,0.06972975408249023,
6,Military,month_2,-34.576981096088815,65.9797796064491,0.6003404349883232,-163.89734912472906,94.74338693255143,
6,Military,month_3,-187.00809123504692,139.41544385260252,0.18006062807317313,-460.2623611861478,86.246178716054,
6,Military,month_4,85.02008272979893,89.03275249054612,0.33981082067695345,-89.48411215167147,259.5242776112693,
6,Military,month_5,-35.847389185353805,77.06615301261083,0.6419102651822626,-186.897049090071,115.2022707193634,
6,Military,month_6,-81.60836403354767,64.90762106995227,0.20889672952010163,-208.8273013306541,45.61057326355878,
6,Military,month_7,-49.0321732502369,43.12021740893047,0.25572841950661807,-133.54779937174064,35.48345287126683,
6,Military,month_8,-43.454533507987904,40.03641630044256,0.27797985766494215,-121.92590945685532,35.016842440879515,
6,Military,month_9,-64.17566595583084,81.28758535103421,0.42998668335547485,-223.4993332438579,95.14800133219622,
6,Military,month_10,-157.32773036486813,109.33236459998841,0.1504228966891994,-371.6191649808454,56.963704251109135,
6,Military,month_11,10.950662643360655,33.02250327981914,0.7402417517334818,-53.77344378508485,75.67476907180617,
6,Military,month_12,-126.3815776948277,84.1974047573328,0.13362238290581474,-291.40849101919997,38.64533562954459,
6,Financial,infra_lag1,-3.086194889597522,3.354611470503312,0.3577704701469673,-9.661233371784014,3.4888435925889696,
6,Financial,infra_lag2,4.342448879572186,4.615318912329701,0.3469626113600084,-4.703576188594028,13.388473947738401,
6,Financial,infra_lag3,-3.3003965292405786,3.5636228953058837,0.3545673783665324,-10.28509740404011,3.684304345558953,
6,Financial,infra_lag4,2.3953894986474724,2.385008325222487,0.31541702938727223,-2.2792268187886027,7.0700058160835475,
6,Financial,infra_lag5,-1.853937625600035,1.239927544544098,0.1351332678843007,-4.284195612906467,0.5763203617063972,
6,Financial,infra_lag6,0.4302949414660625,0.3890977808161515,0.26900715057097946,-0.33233670893359435,1.1929265918657195,
6,Financial,battle_lag1,0.13965427587225945,0.13786116214840935,0.31126713610713064,-0.1305536019386229,0.4098621536831418,
6,Financial,battle_lag2,-0.0069455575875556775,0.027200544251468603,0.7985006972432129,-0.060258624320434134,0.04636750914532278,
6,Financial,battle_lag3,0.07990795406162926,0.0838497552428756,0.34079279415378694,-0.08443756621440693,0.24425347433766545,
6,Financial,battle_lag4,-0.2604738566608006,0.26900998829670375,0.3331111635941528,-0.78773343372234,0.2667857204007388,
6,Financial,battle_lag5,0.01219053488814018,0.021403272144758404,0.5690831090508306,-0.029759878515586292,0.05414094829186666,
6,Financial,battle_lag6,-0.07276209766279684,0.07692935907079299,0.3444312462029504,-0.2235436414415511,0.0780194461159574,
6,Financial,month_2,43.91355341116111,48.948977669586796,0.36983521130382413,-52.026442821229004,139.85354964355122,
6,Financial,month_3,-81.33076208056411,146.16149311608015,0.578013782181209,-367.8072885880812,205.14576442695295,
6,Financial,month_4,10.288381464825443,15.552434632334943,0.5084040328035633,-20.194390414551044,40.771153344201934,
6,Financial,month_5,-99.77849550356763,96.8025757624648,0.30287550390762386,-289.5115439979986,89.95455299086336,
6,Financial,month_6,-59.71266858829751,72.34095910008465,0.40929422976567587,-201.50094842446342,82.07561124786841,
6,Financial,month_7,-274.00882937812014,285.5941193507197,0.3375388411370235,-833.7733033055308,285.75564454929054,
6,Financial,month_8,-102.53376790831992,104.64669571337639,0.3273836865881852,-307.64129150653764,102.5737556898978,
6,Financial,month_9,-102.60134262633164,105.37248969639276,0.33040676583853434,-309.13142243126146,103.92873717859817,
6,Financial,month_10,-41.77420169929226,67.36623767522491,0.5353092328383411,-173.8120275427331,90.26362414414857,
6,Financial,month_11,88.41469834027951,126.97703912708364,0.486376857751595,-160.46029834880443,337.28969502936343,
6,Financial,month_12,-168.22826062971865,193.00236627213562,0.3835851471860583,-546.5128985231045,210.05637726366717,
6,Humanitarian,infra_lag1,-0.22109537404214583,0.1485987195128696,0.13705591884637358,-0.5123488642873703,0.07015811620307857,
6,Humanitarian,infra_lag2,0.3498380979676088,0.2545845937239606,0.16965836748655105,-0.14914770573135394,0.8488239016665715,
6,Humanitarian,infra_lag3,-0.04199724399974296,0.14073106186198048,0.7654342760731203,-0.3178301252492247,0.23383563724973877,
6,Humanitarian,infra_lag4,-0.14915749411956597,0.10604280661154632,0.15981897705025783,-0.3570013950781967,0.058686406839064814,
6,Humanitarian,infra_lag5,0.08634799631082123,0.10922771481796838,0.4293779339974273,-0.12773832473239677,0.30043431735403925,
6,Humanitarian,infra_lag6,0.03826267832756377,0.08624442511254848,0.6573751186615628,-0.13077639489303125,0.2073017515481588,
6,Humanitarian,battle_lag1,0.007819965374041235,0.003968135137783158,0.048995564207739095,4.242050398624471e-05,0.015597510244096226,**
6,Humanitarian,battle_lag2,-0.002182754791462899,0.004965723112268482,0.6603341284651534,-0.011915572091509122,0.0075500625085833245,
6,Humanitarian,battle_lag3,-0.006569748239956216,0.004892939393294341,0.17963055833401254,-0.016159909450813123,0.0030204129709006924,
6,Humanitarian,battle_lag4,-0.007193752316811178,0.0065113140013164875,0.26947068301139865,-0.019955927759391492,0.005568423125769137,
6,Humanitarian,battle_lag5,-0.002117421413988258,0.00885433504606562,0.8110394257620601,-0.019471918104276873,0.015237075276300357,
6,Humanitarian,battle_lag6,-0.0036710683122300296,0.006170551936140161,0.5520033289618063,-0.015765350107064743,0.008423213482604686,
6,Humanitarian,month_2,16.438434576608824,9.528802034694829,0.0847687911386048,-2.2380174113930416,35.114886564610686,*
6,Humanitarian,month_3,-4.527493686075688,11.235284664631934,0.6870434461997448,-26.548651628754275,17.4936642566029,
6,Humanitarian,month_4,4.328976919347048,7.957570103211169,0.5865403932532578,-11.267860482946844,19.92581432164094,
6,Humanitarian,month_5,-2.0545361847189674,8.487096311840853,0.808762578391681,-18.689244955927037,14.580172586489104,
6,Humanitarian,month_6,8.790714574883836,11.269742445375565,0.43553270527414645,-13.297980618052271,30.879409767819944,
6,Humanitarian,month_7,-5.8396470969691325,9.935810658612143,0.5568223999416801,-25.313835987848933,13.634541793910666,
6,Humanitarian,month_8,-8.909982455957172,10.314386827940758,0.38785331616716867,-29.12618063872106,11.306215726806714,
6,Humanitarian,month_9,11.751821895016763,11.206312316445892,0.29454329951477987,-10.212550245217185,33.71619403525071,
6,Humanitarian,month_10,-6.972498175804481,7.609057943821181,0.35967710672523445,-21.886251745693997,7.941255394085034,
6,Humanitarian,month_11,7.688208753518082,9.322858504083158,0.40973207957999036,-10.584593914484905,25.96101142152107,
6,Humanitarian,month_12,12.75132614084362,12.853470012453528,0.32137739380601293,-12.441475083565294,37.944127365252534,
9,Military,infra_lag1,-0.286956219401952,0.3648352001422393,0.4317315396800889,-1.002033211680741,0.4281207728768371,
9,Military,infra_lag2,1.0858303177550663,0.9121335341455892,0.23414812671305274,-0.7019514091702883,2.8736120446804208,
9,Military,infra_lag3,0.4104612520339278,0.4377613214554795,0.3486475918411438,-0.4475509380188121,1.2684734420866677,
9,Military,infra_lag4,1.0967704483683522,1.0698685205122398,0.3055319781237411,-1.0001718518356377,3.1937127485723424,
9,Military,infra_lag5,-1.1592225756606374,0.7467473769381954,0.12087831010041983,-2.6228474344595005,0.3044022831382256,
9,Military,infra_lag6,0.9288217051278231,0.9229003750724304,0.3144484753083461,-0.8800630300141403,2.7377064402697866,
9,Military,infra_lag7,-0.8321688626787003,1.2616039554604523,0.5096483137716468,-3.3049126153811867,1.6405748900237862,
9,Military,infra_lag8,0.92904465608734,1.2710937410071956,0.4650030008463166,-1.5622990762867632,3.4203883884614434,
9,Military,infra_lag9,-1.2351583452633872,1.2400456069878483,0.31945215559488505,-3.6656477349595695,1.1953310444327954,
9,Military,battle_lag1,-0.023942051800809435,0.023627873538516732,0.31115290421949515,-0.07025268393630223,0.02236858033468336,
9,Military,battle_lag2,-0.04031010408333091,0.03592340430348125,0.26207233260323015,-0.11071997651815417,0.030099768351492348,
9,Military,battle_lag3,0.09583190128627735,0.058835847800320945,0.10365650559196737,-0.019486360402351702,0.2111501629749064,
9,Military,battle_lag4,0.01714984932843746,0.03166426803412084,0.5881990608644754,-0.044912116018439384,0.0792118146753143,
9,Military,battle_lag5,0.15442350877382463,0.10280642863264815,0.13337848040343325,-0.04707709134616572,0.355924108893815,
9,Military,battle_lag6,-0.06469731633485473,0.04522154394480614,0.15282242980265925,-0.15333154246667477,0.023936909796965306,
9,Military,battle_lag7,-0.000355083908279506,0.03976028542134259,0.9928761972983038,-0.07828524333411098,0.07757507551755198,
9,Military,battle_lag8,-0.08637344140678474,0.06326482144253193,0.17246263359386393,-0.21037249143414732,0.03762560862057783,
9,Military,battle_lag9,0.11934392651478683,0.11503496336898775,0.2997625217265305,-0.10612460168842915,0.3448124547180028,
9,Military,q_2,91.73260823435044,99.86944950807651,0.3585559140793264,-104.01151280147954,287.4767292701804,
9,Military,q_3,83.20079842432004,132.99118381318794,0.5317064721425417,-177.46192184952832,343.86351869816843,
