donor_group,aid_type,n_donors,variable,coef,std_err,p_value,ci_lower,ci_upper,sig
major_western,Financial,4,battle_lag3,0.8738955414345163,0.8234687669975495,0.2913304002101178,-0.7401032418806807,2.487894324749713,
major_western,Financial,4,battle_lag4,-2.6142018833928082,2.704975903376958,0.33632964985121827,-7.915954654011646,2.6875508872260294,
major_western,Financial,4,battle_lag5,-0.06657304281695543,0.04324621846739164,0.12710340657042063,-0.15133563101304304,0.018189545379132185,
major_western,Financial,4,battle_lag6,-0.7018913194944549,0.7837132696166254,0.37278024074654414,-2.2379693279430404,0.8341866889541307,
major_western,Financial,4,month_2,527.7559478904622,464.508329667637,0.25880876768235317,-382.6803782581063,1438.1922740390305,
major_western,Financial,4,month_3,-1111.4870402091485,1484.2363524424693,0.4558307270110957,-4020.590290996388,1797.616210578091,
major_western,Financial,4,month_4,114.56612828483593,70.88341797042959,0.10942519643346182,-24.365370937206066,253.4976275068779,
major_western,Financial,4,month_5,-830.6215715205112,989.4254891933771,0.4033422956011963,-2769.8955303395305,1108.6523872985078,
major_western,Financial,4,month_6,-481.60067751859924,757.6311846100111,0.5265550218533277,-1966.557799354221,1003.3564443170226,
major_western,Financial,4,month_7,-2712.2859450443357,2890.4739270513105,0.35049347367660344,-8377.614842064904,2953.042951976233,
major_western,Financial,4,month_8,-925.995861702152,1069.3637184505326,0.3887561006826863,-3021.948749865196,1169.957026460892,
major_western,Financial,4,month_9,-837.9487821690968,1087.0138974195422,0.4427367487627809,-2968.4960211113994,1292.5984567732057,
major_western,Financial,4,month_10,-485.75525379618233,686.4846892761661,0.48096439289456705,-1831.265244777468,859.7547371851033,
major_western,Financial,4,month_11,1206.0447487962988,1239.4610143585176,0.3330576695420726,-1223.2988393463957,3635.3883369389932,
major_western,Financial,4,month_12,-1798.2369637447448,1957.1708218187073,0.36058015913903096,-5634.291774509411,2037.8178470199216,
major_western,Humanitarian,4,infra_lag1,-1.7034671592734392,0.7691727847786067,0.029225171360046653,-3.2110458174395085,-0.1958885011073701,**
major_western,Humanitarian,4,infra_lag2,2.7412407038738777,1.7614223186307065,0.12304162560737764,-0.7111470406423068,6.193628448390062,
major_western,Humanitarian,4,infra_lag3,-0.44779214221813346,0.7712322215833063,0.5629015322286302,-1.9594072965214138,1.0638230120851468,
major_western,Humanitarian,4,infra_lag4,-0.4956837141083131,0.49013052824015135,0.31448251280247685,-1.4563395494590097,0.4649721212423836,
major_western,Humanitarian,4,infra_lag5,-0.0650139315811121,0.11946954865737289,0.5876142609730666,-0.29917424694956296,0.16914638378733876,
major_western,Humanitarian,4,infra_lag6,0.3587300999181509,0.6446423107970953,0.5792198237299142,-0.904768829244156,1.6222290290804577,
major_western,Humanitarian,4,battle_lag1,-0.0013636531104659958,0.01947563645653885,0.9443293461651492,-0.03953590056528214,0.036808594344350146,
major_western,Humanitarian,4,battle_lag2,0.007469762759638778,0.008628340615652498,0.38886930965333155,-0.009441784847040117,0.02438131036631767,
major_western,Humanitarian,4,battle_lag3,-0.04553596913449913,0.033040604381525354,0.17145384697299293,-0.11029555372228882,0.019223615453290557,
major_western,Humanitarian,4,battle_lag4,-0.026943383670444555,0.0266990737999911,0.3155208831284939,-0.0792735683184271,0.025386800977538003,
major_western,Humanitarian,4,battle_lag5,0.05942078640579824,0.04167248681753707,0.15724536208496032,-0.022257287756574408,0.1410988605681709,
major_western,Humanitarian,4,battle_lag6,-0.002892024101462317,0.043950798541423565,0.9476771866891016,-0.08903558924265251,0.08325154103972787,
major_western,Humanitarian,4,month_2,89.54983303233608,57.970093605195274,0.1258006891808523,-24.071550433846653,203.17121649851882,
major_western,Humanitarian,4,month_3,-72.7544753150255,17.205312107694915,5.497073430893451e-05,-106.47688704610754,-39.03206358394347,***
major_western,Humanitarian,4,month_4,44.81202305443928,73.37909573455318,0.5428931606024774,-99.01100458528494,188.6350506941635,
major_western,Humanitarian,4,month_5,28.12195779023221,49.91756329951902,0.5745401629181752,-69.71646627682506,125.96038185728949,
major_western,Humanitarian,4,month_6,152.60773305703142,68.81640059099774,0.02901738744556348,17.727587898675836,287.487878215387,**
major_western,Humanitarian,4,month_7,22.981672865467086,59.984851170571325,0.7025017108331721,-94.58863542885271,140.5519811597869,
major_western,Humanitarian,4,month_8,56.76512364804527,68.56446519582691,0.40984166819196055,-77.62122813577548,191.151475431866,
major_western,Humanitarian,4,month_9,106.14842678407926,81.6936868722087,0.1970368329672254,-53.97119948544979,266.2680530536083,
major_western,Humanitarian,4,month_10,14.991996742790926,43.32931224485776,0.7301232809932432,-69.93345525713028,99.91744874271214,
major_western,Humanitarian,4,month_11,65.53254232212055,47.76820655642221,0.17339927307860026,-28.09314252846697,159.15822717270805,
major_western,Humanitarian,4,month_12,60.219500086579515,58.640046242502855,0.3071148221237201,-54.71499054872608,175.15399072188512,
reluctant,Military,4,infra_lag1,-0.743220562433721,0.8272785195496093,0.3712965773158885,-2.364686460750955,0.8782453358835131,
reluctant,Military,4,infra_lag2,0.89385269709484,0.7833248283722946,0.25675778392371407,-0.6414639665148573,2.4291693607045373,
reluctant,Military,4,infra_lag3,-1.0951901532433268,0.7863901004801463,0.16703705989623985,-2.6365147501844137,0.4461344436977601,
reluctant,Military,4,infra_lag4,0.41826598026344725,0.8299574381699788,0.6154807463323246,-1.2084505985497112,2.0449825590766055,
reluctant,Military,4,infra_lag5,0.3286902984245458,1.0394094522001998,0.7525381683429879,-1.7085522278878456,2.3659328247369373,
reluctant,Military,4,infra_lag6,0.07706100495247632,0.43216494710821546,0.8588643377828609,-0.7699822913796259,0.9241043012845787,
reluctant,Military,4,battle_lag1,-0.01388994434684658,0.02210390444958806,0.5312866092695332,-0.057213597068039176,0.029433708374346015,
