aid_type,variable,coef,std_err,t_stat,p_value,ci_lower,ci_upper,sig
Financial,month_3,-81.33076208056411,146.16149311608015,-0.5564445213759,0.578013782181209,-367.8072885880812,205.14576442695295,
Financial,month_4,10.288381464825443,15.552434632334943,0.6615286743231154,0.5084040328035633,-20.194390414551044,40.771153344201934,
Financial,month_5,-99.77849550356763,96.8025757624648,-1.0307421545104871,0.30287550390762386,-289.5115439979986,89.95455299086336,
Financial,month_6,-59.71266858829751,72.34095910008465,-0.8254337422549827,0.40929422976567587,-201.50094842446342,82.07561124786841,
Financial,month_7,-274.00882937812014,285.5941193507197,-0.959434423933735,0.3375388411370235,-833.7733033055308,285.75564454929054,
Financial,month_8,-102.53376790831992,104.64669571337639,-0.979808939110283,0.3273836865881852,-307.64129150653764,102.5737556898978,
Financial,month_9,-102.60134262633164,105.37248969639276,-0.9737014179123454,0.33040676583853434,-309.13142243126146,103.92873717859817,
Financial,month_10,-41.77420169929226,67.36623767522491,-0.6201059038013554,0.5353092328383411,-173.8120275427331,90.26362414414857,
Financial,month_11,88.41469834027951,126.97703912708364,0.6963046149768116,0.486376857751595,-160.46029834880443,337.28969502936343,
Financial,month_12,-168.22826062971865,193.00236627213562,-0.8716383321047723,0.3835851471860583,-546.5128985231045,210.05637726366717,
Humanitarian,infra_lag1,-0.22109537404214583,0.1485987195128696,-1.4878686355234545,0.13705591884637358,-0.5123488642873703,0.07015811620307857,
Humanitarian,infra_lag2,0.3498380979676088,0.2545845937239606,1.3741526651331033,0.16965836748655105,-0.14914770573135394,0.8488239016665715,
Humanitarian,infra_lag3,-0.04199724399974296,0.14073106186198048,-0.29842199329762054,0.7654342760731203,-0.3178301252492247,0.23383563724973877,
Humanitarian,infra_lag4,-0.14915749411956597,0.10604280661154632,-1.4065781441069967,0.15981897705025783,-0.3570013950781967,0.058686406839064814,
Humanitarian,infra_lag5,0.08634799631082123,0.10922771481796838,0.7905319309730414,0.4293779339974273,-0.12773832473239677,0.30043431735403925,
Humanitarian,infra_lag6,0.03826267832756377,0.08624442511254848,0.4436539321542371,0.6573751186615628,-0.13077639489303125,0.2073017515481588,
Humanitarian,battle_lag1,0.007819965374041235,0.003968135137783158,1.9706902871281606,0.048995564207739095,4.242050398624471e-05,0.015597510244096226,**
Humanitarian,battle_lag2,-0.002182754791462899,0.004965723112268482,-0.4395643377839799,0.6603341284651534,-0.011915572091509122,0.0075500625085833245,
Humanitarian,battle_lag3,-0.006569748239956216,0.004892939393294341,-1.3426996968243468,0.17963055833401254,-0.016159909450813123,0.0030204129709006924,
Humanitarian,battle_lag4,-0.007193752316811178,0.0065113140013164875,-1.1048080794992703,0.26947068301139865,-0.019955927759391492,0.005568423125769137,
Humanitarian,battle_lag5,-0.002117421413988258,0.00885433504606562,-0.23913951787143226,0.8110394257620601,-0.019471918104276873,0.015237075276300357,
Humanitarian,battle_lag6,-0.0036710683122300296,0.006170551936140161,-0.594933540827853,0.5520033289618063,-0.015765350107064743,0.008423213482604686,
Humanitarian,month_2,16.438434576608824,9.528802034694829,1.7251312931841472,0.0847687911386048,-2.2380174113930416,35.114886564610686,*
Humanitarian,month_3,-4.527493686075688,11.235284664631934,-0.4029709812629841,0.6870434461997448,-26.548651628754275,17.4936642566029,
Humanitarian,month_4,4.328976919347048,7.957570103211169,0.5440073870791473,0.5865403932532578,-11.267860482946844,19.92581432164094,
Humanitarian,month_5,-2.0545361847189674,8.487096311840853,-0.2420776328239096,0.808762578391681,-18.689244955927037,14.580172586489104,
Humanitarian,month_6,8.790714574883836,11.269742445375565,0.7800279924312755,0.43553270527414645,-13.297980618052271,30.879409767819944,
Humanitarian,month_7,-5.8396470969691325,9.935810658612143,-0.5877373570829326,0.5568223999416801,-25.313835987848933,13.634541793910666,
Humanitarian,month_8,-8.909982455957172,10.314386827940758,-0.8638402461134016,0.38785331616716867,-29.12618063872106,11.306215726806714,
Humanitarian,month_9,11.751821895016763,11.206312316445892,1.0486787770291128,0.29454329951477987,-10.212550245217185,33.71619403525071,
Humanitarian,month_10,-6.972498175804481,7.609057943821181,-0.9163418424834564,0.35967710672523445,-21.886251745693997,7.941255394085034,
Humanitarian,month_11,7.688208753518082,9.322858504083158,0.8246621731039742,0.40973207957999036,-10.584593914484905,25.96101142152107,
Humanitarian,month_12,12.75132614084362,12.853470012453528,0.9920532065262577,0.32137739380601293,-12.441475083565294,37.944127365252534,
