donor,year_month,aid_type_general,aid_eur_m,aid_type_specific,donor_group,frontline_flag,reluctant_flag,year,month_num,t,post_2022,winter,infrastructure_attacks,Energy,Medical/Edu,Water,Battle Counts,Remote Attack,Deaths,Total Events,battlefield_events,infra_spike,infra_lag1,battle_lag1,infra_lag2,battle_lag2,infra_lag3,battle_lag3,infra_lag4,battle_lag4,infra_lag5,battle_lag5,infra_lag6,battle_lag6
Poland,2022-02,Financial,881.6864899179147,Swap-line,frontline_adjacent,1,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Poland,2022-02,Humanitarian,0.0,,frontline_adjacent,1,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Poland,2022-02,Military,0.0,Weapons and equipment,frontline_adjacent,1,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Portugal,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Portugal,2022-02,Humanitarian,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Portugal,2022-02,Military,2.689522919440305,Equipment,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Romania,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Romania,2022-02,Humanitarian,0.4727903085021027,Equipment,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Romania,2022-02,Military,3.0,Weapons and equipment,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Slovakia,2022-02,Financial,0.0,,reluctant,0,1,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Slovakia,2022-02,Humanitarian,0.0,,reluctant,0,1,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Slovakia,2022-02,Military,17.2,Equipment | Weapons,reluctant,0,1,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Slovenia,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Slovenia,2022-02,Humanitarian,1.263,Contribution | Equipment,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Slovenia,2022-02,Military,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
South Korea,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
South Korea,2022-02,Humanitarian,8.816864899179148,Equipment,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
South Korea,2022-02,Military,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Spain,2022-02,Financial,0.0,,reluctant,0,1,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Spain,2022-02,Humanitarian,0.15,Equipment,reluctant,0,1,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Spain,2022-02,Military,0.0,,reluctant,0,1,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
