donor,year_month,aid_type_general,aid_eur_m,aid_type_specific,donor_group,frontline_flag,reluctant_flag,year,month_num,t,post_2022,winter
Taiwan,2022-02,Humanitarian,0.238055352277837,Equipment,other,0,0,2022,2,1,0,1
Taiwan,2022-02,Military,0.0,,other,0,0,2022,2,1,0,1
Turkiye,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1
Turkiye,2022-02,Humanitarian,0.21868646346732026,Equipment,other,0,0,2022,2,1,0,1
Turkiye,2022-02,Military,0.0,Funding for Weapon Acquisition Program,other,0,0,2022,2,1,0,1
United Kingdom,2022-02,Financial,140.83288328474796,Grant | Loan,major_western,0,0,2022,2,1,0,1
United Kingdom,2022-02,Humanitarian,47.73996043550778,Assistance,major_western,0,0,2022,2,1,0,1
United Kingdom,2022-02,Military,75.26864105661308,Weapons,major_western,0,0,2022,2,1,0,1
United States,2022-02,Financial,0.0,,major_western,0,0,2022,2,1,0,1
United States,2022-02,Humanitarian,47.6110704555674,Assistance,major_western,0,0,2022,2,1,0,1
United States,2022-02,Military,308.5902714712702,Weapons and Equipment,major_western,0,0,2022,2,1,0,1
Australia,2022-03,Financial,0.0,,other_western,0,0,2022,3,2,0,1
Australia,2022-03,Humanitarian,65.30042325425799,Assistance | Contribution | Equipment,other_western,0,0,2022,3,2,0,1
Australia,2022-03,Military,77.61115878579845,Assistance | Equipment | Weapons and equipment,other_western,0,0,2022,3,2,0,1
Austria,2022-03,Financial,10.0,Grant,other,0,0,2022,3,2,0,1
Austria,2022-03,Humanitarian,0.0,,other,0,0,2022,3,2,0,1
Austria,2022-03,Military,3.2556386286873216,Equipment,other,0,0,2022,3,2,0,1
Belgium,2022-03,Financial,0.0,,other,0,0,2022,3,2,0,1
Belgium,2022-03,Humanitarian,3.63,Equipment,other,0,0,2022,3,2,0,1
Belgium,2022-03,Military,11.0,Equipment | Weapons,other,0,0,2022,3,2,0,1
Bulgaria,2022-03,Financial,0.0,,other,0,0,2022,3,2,0,1
Bulgaria,2022-03,Humanitarian,0.0,,other,0,0,2022,3,2,0,1
Bulgaria,2022-03,Military,0.0,,other,0,0,2022,3,2,0,1
Canada,2022-03,Financial,0.0,,other_western,0,0,2022,3,2,0,1
Canada,2022-03,Humanitarian,35.843187612594356,Assistance,other_western,0,0,2022,3,2,0,1
Canada,2022-03,Military,12.90354754053397,Equipment | Funding for Weapon Acquisition Program | Weapons,other_western,0,0,2022,3,2,0,1
China,2022-03,Financial,0.0,,other,0,0,2022,3,2,0,1
China,2022-03,Humanitarian,2.145430326683743,Equipment,other,0,0,2022,3,2,0,1
China,2022-03,Military,0.0,,other,0,0,2022,3,2,0,1
Croatia,2022-03,Financial,0.0,,other,0,0,2022,3,2,0,1
Croatia,2022-03,Humanitarian,0.0,,other,0,0,2022,3,2,0,1
Croatia,2022-03,Military,0.0,,other,0,0,2022,3,2,0,1
Cyprus,2022-03,Financial,0.0,,other,0,0,2022,3,2,0,1
Cyprus,2022-03,Humanitarian,2.0,Equipment,other,0,0,2022,3,2,0,1
Cyprus,2022-03,Military,0.0,,other,0,0,2022,3,2,0,1
Czechia,2022-03,Financial,0.0,,frontline_adjacent,1,0,2022,3,2,0,1
Czechia,2022-03,Humanitarian,5.736438612010248,Assistance | Equipment,frontline_adjacent,1,0,2022,3,2,0,1
Czechia,2022-03,Military,5.860073374314931,Assistance | Equipment | Weapons | Weapons and equipment,frontline_adjacent,1,0,2022,3,2,0,1
Denmark,2022-03,Financial,20.0,Grant,other,0,0,2022,3,2,0,1
Denmark,2022-03,Humanitarian,42.73988740604996,Assistance | Equipment,other,0,0,2022,3,2,0,1
Denmark,2022-03,Military,0.0,,other,0,0,2022,3,2,0,1
Estonia,2022-03,Financial,0.0,,frontline_adjacent,1,0,2022,3,2,0,1
Estonia,2022-03,Humanitarian,0.0,,frontline_adjacent,1,0,2022,3,2,0,1
Estonia,2022-03,Military,226.93847489320228,Weapons and equipment,frontline_adjacent,1,0,2022,3,2,0,1
Finland,2022-03,Financial,5.8,Grant,frontline_adjacent,1,0,2022,3,2,0,1
Finland,2022-03,Humanitarian,3.319279818178949,Equipment,frontline_adjacent,1,0,2022,3,2,0,1
Finland,2022-03,Military,0.0,,frontline_adjacent,1,0,2022,3,2,0,1
France,2022-03,Financial,0.0,,major_western,0,0,2022,3,2,0,1
France,2022-03,Humanitarian,126.37379181328416,Equipment,major_western,0,0,2022,3,2,0,1
France,2022-03,Military,0.0,,major_western,0,0,2022,3,2,0,1
Germany,2022-03,Financial,150.0,Loan,major_western,0,0,2022,3,2,0,1
Germany,2022-03,Humanitarian,0.0,,major_western,0,0,2022,3,2,0,1
Germany,2022-03,Military,0.0,,major_western,0,0,2022,3,2,0,1
Greece,2022-03,Financial,0.0,,other,0,0,2022,3,2,0,1
Greece,2022-03,Humanitarian,0.0,Equipment,other,0,0,2022,3,2,0,1
Greece,2022-03,Military,16.420190458313538,Weapons,other,0,0,2022,3,2,0,1
Hungary,2022-03,Financial,0.0,,reluctant,0,1,2022,3,2,0,1
Hungary,2022-03,Humanitarian,6.232286312989046,Equipment | Reconstruction,reluctant,0,1,2022,3,2,0,1
Hungary,2022-03,Military,0.0,,reluctant,0,1,2022,3,2,0,1
Iceland,2022-03,Financial,0.0,,other,0,0,2022,3,2,0,1
Iceland,2022-03,Humanitarian,1.394827011128294,Assistance | Contribution,other,0,0,2022,3,2,0,1
Iceland,2022-03,Military,0.0,,other,0,0,2022,3,2,0,1
India,2022-03,Financial,0.0,,other,0,0,2022,3,2,0,1
India,2022-03,Humanitarian,0.0,,other,0,0,2022,3,2,0,1
India,2022-03,Military,0.0,,other,0,0,2022,3,2,0,1
Ireland,2022-03,Financial,0.0,,other,0,0,2022,3,2,0,1
Ireland,2022-03,Humanitarian,2.943150562788142,Equipment,other,0,0,2022,3,2,0,1
Ireland,2022-03,Military,0.0907526949604634,Equipment,other,0,0,2022,3,2,0,1
Italy,2022-03,Financial,0.0,,reluctant,0,1,2022,3,2,0,1
Italy,2022-03,Humanitarian,7.684470832872994,Equipment,reluctant,0,1,2022,3,2,0,1
Italy,2022-03,Military,0.0,,reluctant,0,1,2022,3,2,0,1
Japan,2022-03,Financial,90.7526949604634,Loan,other_western,0,0,2022,3,2,0,1
Japan,2022-03,Humanitarian,48.88847677520163,Assistance,other_western,0,0,2022,3,2,0,1
Japan,2022-03,Military,0.0,Equipment,other_western,0,0,2022,3,2,0,1
Latvia,2022-03,Financial,5.0,Grant,frontline_adjacent,1,0,2022,3,2,0,1
Latvia,2022-03,Humanitarian,0.727417,Assistance | Equipment,frontline_adjacent,1,0,2022,3,2,0,1
Latvia,2022-03,Military,0.0,,frontline_adjacent,1,0,2022,3,2,0,1
Lithuania,2022-03,Financial,5.0,Grant,frontline_adjacent,1,0,2022,3,2,0,1
Lithuania,2022-03,Humanitarian,0.0,,frontline_adjacent,1,0,2022,3,2,0,1
Lithuania,2022-03,Military,64.8744709357062,Equipment | Weapons and equipment,frontline_adjacent,1,0,2022,3,2,0,1
Luxembourg,2022-03,Financial,0.0,,other,0,0,2022,3,2,0,1
Luxembourg,2022-03,Humanitarian,0.0,Equipment,other,0,0,2022,3,2,0,1
Luxembourg,2022-03,Military,0.0,,other,0,0,2022,3,2,0,1
Malta,2022-03,Financial,0.0,,other,0,0,2022,3,2,0,1
Malta,2022-03,Humanitarian,1.15,Equipment,other,0,0,2022,3,2,0,1
Malta,2022-03,Military,0.0,,other,0,0,2022,3,2,0,1
Netherlands,2022-03,Financial,80.0,Guarantee,other_western,0,0,2022,3,2,0,1
Netherlands,2022-03,Humanitarian,18.32712400763901,Assistance | Contribution | Equipment,other_western,0,0,2022,3,2,0,1
Netherlands,2022-03,Military,0.0,,other_western,0,0,2022,3,2,0,1
New Zealand,2022-03,Financial,0.0,,other,0,0,2022,3,2,0,1
New Zealand,2022-03,Humanitarian,0.0,,other,0,0,2022,3,2,0,1
New Zealand,2022-03,Military,5.757243284977041,Equipment | Funding for Weapon Acquisition Program,other,0,0,2022,3,2,0,1
Norway,2022-03,Financial,0.0,,other_western,0,0,2022,3,2,0,1
Norway,2022-03,Humanitarian,0.0,,other_western,0,0,2022,3,2,0,1
Norway,2022-03,Military,2.6772045013336703,Weapons,other_western,0,0,2022,3,2,0,1
Poland,2022-03,Financial,6.312848293106461,Grant,frontline_adjacent,1,0,2022,3,2,0,1
Poland,2022-03,Humanitarian,0.0,,frontline_adjacent,1,0,2022,3,2,0,1
Poland,2022-03,Military,0.0,,frontline_adjacent,1,0,2022,3,2,0,1
Portugal,2022-03,Financial,0.0,,other,0,0,2022,3,2,0,1
Portugal,2022-03,Humanitarian,0.1,Equipment,other,0,0,2022,3,2,0,1
Portugal,2022-03,Military,0.0,,other,0,0,2022,3,2,0,1
Romania,2022-03,Financial,0.0,,other,0,0,2022,3,2,0,1
Romania,2022-03,Humanitarian,1.0104613502926825,Equipment,other,0,0,2022,3,2,0,1
Romania,2022-03,Military,0.0,,other,0,0,2022,3,2,0,1
Slovakia,2022-03,Financial,0.0,,reluctant,0,1,2022,3,2,0,1
Slovakia,2022-03,Humanitarian,0.0,,reluctant,0,1,2022,3,2,0,1
Slovakia,2022-03,Military,32.2,Weapons and equipment,reluctant,0,1,2022,3,2,0,1
Slovenia,2022-03,Financial,0.0,,other,0,0,2022,3,2,0,1
Slovenia,2022-03,Humanitarian,0.3630107798418536,Equipment,other,0,0,2022,3,2,0,1
Slovenia,2022-03,Military,0.0,,other,0,0,2022,3,2,0,1
South Korea,2022-03,Financial,0.0,,other,0,0,2022,3,2,0,1
South Korea,2022-03,Humanitarian,0.0,,other,0,0,2022,3,2,0,1
South Korea,2022-03,Military,0.7260215596837072,Equipment,other,0,0,2022,3,2,0,1
Spain,2022-03,Financial,0.0,,reluctant,0,1,2022,3,2,0,1
Spain,2022-03,Humanitarian,71.82367145946117,Assistance | Equipment,reluctant,0,1,2022,3,2,0,1
Spain,2022-03,Military,33.81780565992323,Equipment | Weapons,reluctant,0,1,2022,3,2,0,1
Sweden,2022-03,Financial,45.3763474802317,Guarantee,other_western,0,0,2022,3,2,0,1
Sweden,2022-03,Humanitarian,0.0,,other_western,0,0,2022,3,2,0,1
Sweden,2022-03,Military,0.0,,other_western,0,0,2022,3,2,0,1
Switzerland,2022-03,Financial,0.0,,other,0,0,2022,3,2,0,1
Switzerland,2022-03,Humanitarian,58.562916942506476,Assistance,other,0,0,2022,3,2,0,1
Switzerland,2022-03,Military,0.0,,other,0,0,2022,3,2,0,1
Taiwan,2022-03,Financial,0.0,,other,0,0,2022,3,2,0,1
Taiwan,2022-03,Humanitarian,0.0,,other,0,0,2022,3,2,0,1
Taiwan,2022-03,Military,0.0,,other,0,0,2022,3,2,0,1
Turkiye,2022-03,Financial,0.0,,other,0,0,2022,3,2,0,1
Turkiye,2022-03,Humanitarian,4.323140753484115,Equipment,other,0,0,2022,3,2,0,1
Turkiye,2022-03,Military,0.0,,other,0,0,2022,3,2,0,1
United Kingdom,2022-03,Financial,123.26894285951926,Grant,major_western,0,0,2022,3,2,0,1
United Kingdom,2022-03,Humanitarian,175.7568826416036,Assistance | Equipment,major_western,0,0,2022,3,2,0,1
United Kingdom,2022-03,Military,622.9916316086252,Assistance | Weapons,major_western,0,0,2022,3,2,0,1
United States,2022-03,Financial,0.0,,major_western,0,0,2022,3,2,0,1
United States,2022-03,Humanitarian,189.08749625151916,Assistance,major_western,0,0,2022,3,2,0,1
United States,2022-03,Military,907.5269496046341,Weapons and Equipment,major_western,0,0,2022,3,2,0,1
Australia,2022-04,Financial,0.0,,other_western,0,0,2022,4,3,0,0
Australia,2022-04,Humanitarian,0.0,,other_western,0,0,2022,4,3,0,0
Australia,2022-04,Military,69.69749178044823,Equipment | Weapons,other_western,0,0,2022,4,3,0,0
Austria,2022-04,Financial,0.0,,other,0,0,2022,4,3,0,0
Austria,2022-04,Humanitarian,0.0,,other,0,0,2022,4,3,0,0
Austria,2022-04,Military,0.0,,other,0,0,2022,4,3,0,0
Belgium,2022-04,Financial,0.0,,other,0,0,2022,4,3,0,0
Belgium,2022-04,Humanitarian,0.0,,other,0,0,2022,4,3,0,0
Belgium,2022-04,Military,0.0,,other,0,0,2022,4,3,0,0
Bulgaria,2022-04,Financial,0.0,,other,0,0,2022,4,3,0,0
Bulgaria,2022-04,Humanitarian,0.706,Assistance,other,0,0,2022,4,3,0,0
Bulgaria,2022-04,Military,36.6060841508035,Equipment,other,0,0,2022,4,3,0,0
Canada,2022-04,Financial,732.476464374658,Loan,other_western,0,0,2022,4,3,0,0
Canada,2022-04,Humanitarian,0.0,,other_western,0,0,2022,4,3,0,0
Canada,2022-04,Military,31.516310235004905,Weapons,other_western,0,0,2022,4,3,0,0
China,2022-04,Financial,0.0,,other,0,0,2022,4,3,0,0
China,2022-04,Humanitarian,0.0,,other,0,0,2022,4,3,0,0
China,2022-04,Military,0.0,,other,0,0,2022,4,3,0,0
Croatia,2022-04,Financial,0.0,,other,0,0,2022,4,3,0,0
Croatia,2022-04,Humanitarian,0.2006959789353904,Equipment,other,0,0,2022,4,3,0,0
Croatia,2022-04,Military,0.0,,other,0,0,2022,4,3,0,0
Cyprus,2022-04,Financial,0.0,,other,0,0,2022,4,3,0,0
Cyprus,2022-04,Humanitarian,0.0,,other,0,0,2022,4,3,0,0
Cyprus,2022-04,Military,0.0,,other,0,0,2022,4,3,0,0
Czechia,2022-04,Financial,0.0,,frontline_adjacent,1,0,2022,4,3,0,0
Czechia,2022-04,Humanitarian,0.757102548086243,Consolidation | Equipment,frontline_adjacent,1,0,2022,4,3,0,0
Czechia,2022-04,Military,0.0,,frontline_adjacent,1,0,2022,4,3,0,0
Denmark,2022-04,Financial,0.0,,other,0,0,2022,4,3,0,0
Denmark,2022-04,Humanitarian,0.535494,Contribution,other,0,0,2022,4,3,0,0
Denmark,2022-04,Military,134.424768117275,Weapons and equipment,other,0,0,2022,4,3,0,0
Estonia,2022-04,Financial,0.0,,frontline_adjacent,1,0,2022,4,3,0,0
Estonia,2022-04,Humanitarian,14.202141218228002,Equipment,frontline_adjacent,1,0,2022,4,3,0,0
Estonia,2022-04,Military,5.0,Equipment,frontline_adjacent,1,0,2022,4,3,0,0
Finland,2022-04,Financial,46.5,Grant,frontline_adjacent,1,0,2022,4,3,0,0
Finland,2022-04,Humanitarian,1.1738893537527488,Equipment,frontline_adjacent,1,0,2022,4,3,0,0
Finland,2022-04,Military,0.0,,frontline_adjacent,1,0,2022,4,3,0,0
France,2022-04,Financial,0.0,,major_western,0,0,2022,4,3,0,0
France,2022-04,Humanitarian,10.886897193442922,Equipment,major_western,0,0,2022,4,3,0,0
France,2022-04,Military,243.74050219205364,Weapons | Weapons and equipment,major_western,0,0,2022,4,3,0,0
Germany,2022-04,Financial,0.0,,major_western,0,0,2022,4,3,0,0
Germany,2022-04,Humanitarian,440.0,Consolidation | Equipment,major_western,0,0,2022,4,3,0,0
Germany,2022-04,Military,0.0,Weapons and equipment,major_western,0,0,2022,4,3,0,0
Greece,2022-04,Financial,0.0,,other,0,0,2022,4,3,0,0
Greece,2022-04,Humanitarian,0.0,Equipment,other,0,0,2022,4,3,0,0
Greece,2022-04,Military,0.0,,other,0,0,2022,4,3,0,0
Hungary,2022-04,Financial,0.0,,reluctant,0,1,2022,4,3,0,0
Hungary,2022-04,Humanitarian,0.0,,reluctant,0,1,2022,4,3,0,0
Hungary,2022-04,Military,0.0,,reluctant,0,1,2022,4,3,0,0
Iceland,2022-04,Financial,0.92968985245408,Grant,other,0,0,2022,4,3,0,0
Iceland,2022-04,Humanitarian,0.0,,other,0,0,2022,4,3,0,0
Iceland,2022-04,Military,0.2,Funding for Weapon Acquisition Program,other,0,0,2022,4,3,0,0
India,2022-04,Financial,0.0,,other,0,0,2022,4,3,0,0
India,2022-04,Humanitarian,0.0,,other,0,0,2022,4,3,0,0
India,2022-04,Military,0.0,,other,0,0,2022,4,3,0,0
